px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
111.087	12.5944	0.527537	-1.15022	-0.757694	111.063	12.5814	111.196	12.9118	1.69008	-0.322574	27.8366
111.071	12.6006	0.709605	-0.553203	0.245799	111.426	12.9557	111.196	12.9118	1.69008	-0.322574	20.1128
112.627	12.4865	1.34627	0.94874	1.10553	112.913	12.4877	112.893	12.6299	1.7999	-0.254723	16.6082
112.626	12.4758	1.42323	0.530772	0.328774	112.797	12.8241	112.893	12.6299	1.7999	-0.254723	5.06829
114.648	12.5507	1.62008	-0.596865	-0.66635	114.801	12.5506	114.699	12.4195	1.90891	-0.175007	8.37282
114.669	12.5544	1.72462	-0.340643	-0.176989	114.916	12.3187	114.699	12.4195	1.90891	-0.175007	2.55864
116.589	12.104	1.92949	-0.109878	0.114579	116.687	12.1036	116.611	12.2921	2.01507	-0.0838683	2.55943
116.654	12.1045	2.02567	-0.03366	0.233577	116.871	12.0659	116.611	12.2921	2.01507	-0.0838683	1.15535
118.899	12.0009	2.16805	-0.0208338	0.080437	118.953	12.0009	118.628	12.2586	2.11647	0.0177712	1.3687
118.899	12.001	2.18512	-0.0129099	0.0936786	118.85	12.4063	118.628	12.2586	2.11647	0.0177712	0.0288804
120.699	12.2916	2.16945	0.278998	0.225352	120.695	12.2918	120.743	12.3289	2.21139	0.128528	0.0688096
120.743	12.2916	2.21081	0.264493	0.195704	120.934	12.1905	120.743	12.3289	2.21139	0.128528	0.498898
123.486	12.829	2.41354	0.0426126	-0.0836122	123.568	12.8297	122.95	12.5114	2.29835	0.246599	3.79017
123.421	12.8288	2.40234	0.063543	-0.0688341	123.142	12.7694	122.95	12.5114	2.29835	0.246599	1.09526
124.931	12.7745	2.29954	-0.0941308	-0.132201	124.894	12.7743	125.242	12.8125	2.37624	0.369827	0.958053
125.026	12.7754	2.45363	-0.022405	0.00491302	125.376	12.9964	125.242	12.8125	2.37624	0.369827	2.70957
127.796	13.3267	2.58088	0.459607	0.32106	127.853	13.3273	127.609	13.2365	2.44434	0.495787	2.18303
127.742	13.3259	2.62807	0.392296	0.189089	127.506	13.153	127.609	13.2365	2.44434	0.495787	1.0664
129.956	13.697	2.52476	0.120016	-0.11482	129.947	13.6963	130.042	13.7853	2.50232	0.621879	0.524119
130.025	13.6972	2.52693	0.0982	-0.1286	130.334	13.781	130.042	13.7853	2.50232	0.621879	1.36021
132.095	14.5065	2.52032	0.491657	0.215184	132.092	14.507	132.53	14.458	2.55028	0.74543	0.39754
132.162	14.5059	2.62863	0.385099	0.00936431	132.447	14.3423	132.53	14.458	2.55028	0.74543	1.50142
135.003	15.047	2.77255	-0.00997537	-0.258827	135.073	15.0475	135.066	15.2513	2.58865	0.863795	2.21954
135.017	15.047	2.75312	-0.0225629	-0.280067	135.127	14.6575	135.066	15.2513	2.58865	0.863795	0.0955244
137.555	16.2138	2.7083	0.710908	0.389204	137.561	16.2147	137.639	16.1592	2.61821	0.974442	1.54467
137.576	16.2119	2.84173	0.454578	-0.120942	137.653	16.5145	137.639	16.1592	2.61821	0.974442	1.84148
140.287	17.0078	2.93055	0.133446	-0.257026	140.331	17.008	140.242	17.1733	2.63994	1.07503	0.638119
140.304	17.008	2.95032	0.128676	-0.261163	140.305	17.5379	140.242	17.1733	2.63994	1.07503	0.0865807
142.884	17.9913	2.96056	0.468647	0.137753	142.888	17.9918	142.868	18.2829	2.65497	1.16346	0.536861
142.84	17.9908	2.99589	0.419662	0.0444818	142.626	18.1458	142.868	18.2829	2.65497	1.16346	0.605654
145.378	19.1615	3.03228	0.426402	0.0195265	145.392	19.1617	145.51	19.4754	2.66445	1.23795	0.0993977
145.461	19.1618	3.07444	0.382085	-0.038319	145.789	19.3785	145.51	19.4754	2.66445	1.23795	1.75671
148.224	20.4749	3.16831	0.454288	0.0384791	148.251	20.4754	148.163	20.7364	2.66951	1.29702	0.484586
148.217	20.4751	3.13165	0.497603	0.119045	148.146	20.9376	148.163	20.7364	2.66951	1.29702	0.0863854
150.672	22.1139	3.18131	0.648205	0.141689	150.686	22.1142	150.825	22.0502	2.67111	1.33953	0.133731
150.669	22.1134	3.23214	0.546941	-0.0542944	150.649	21.8148	150.825	22.0502	2.67111	1.33953	0.300225
153.405	23.4907	3.26205	0.392954	-0.118814	153.422	23.4909	153.491	23.3999	2.66999	1.3647	0.118994
153.39	23.4907	3.19713	0.463659	0.012039	153.466	22.9115	153.491	23.3999	2.66999	1.3647	0.289384
156.036	24.8083	3.22544	0.448439	-0.00485448	156.047	24.8084	156.159	24.7682	2.66666	1.37208	0.0831926
156.03	24.8087	3.13799	0.545829	0.178542	156.009	25.0678	156.159	24.7682	2.66666	1.37208	0.436791
158.878	26.0305	3.16705	0.331422	-0.0797767	158.905	26.0308	158.827	26.1372	2.66127	1.36157	0.656024
158.908	26.0307	3.17375	0.320655	-0.087698	159.014	26.1903	158.827	26.1372	2.66127	1.36157	0.23366
161.411	27.4253	3.20317	0.57618	0.139101	161.412	27.4256	161.493	27.4891	2.65371	1.33344	0.192824
161.444	27.4258	3.17991	0.610583	0.210539	161.529	27.8454	161.493	27.4891	2.65371	1.33344	0.367151
163.653	28.7695	3.0302	0.586675	0.0502827	163.625	28.7683	164.155	28.8064	2.64354	1.28825	0.699287
163.757	28.77	3.07103	0.52785	-0.0174117	164.116	29.315	164.155	28.8064	2.64354	1.28825	2.78661
166.757	30.2051	3.25817	0.361063	-0.10787	166.828	30.2062	166.809	30.0721	2.63006	1.22694	2.19042
166.729	30.205	3.16888	0.433744	0.0201004	166.748	29.7121	166.809	30.0721	2.63006	1.22694	0.485431
169.103	31.3718	3.15301	0.462209	0.0249451	169.097	31.3717	169.452	31.2706	2.61238	1.15075	0.0275945
169.122	31.3721	3.11688	0.496267	0.0948999	169.345	30.7063	169.452	31.2706	2.61238	1.15075	0.220506
172.141	32.3401	3.1655	0.175089	-0.177732	172.175	32.3404	172.079	32.3873	2.58945	1.06126	0.934373
172.147	32.34	3.0833	0.17326	-0.183422	172.135	32.6666	172.079	32.3873	2.58945	1.06126	0.312827
174.645	33.4621	3.07552	0.521901	0.16731	174.643	33.4625	174.685	33.4094	2.56021	0.960341	0.40649
174.627	33.4624	3.02536	0.572847	0.26644	174.474	33.9157	174.685	33.4094	2.56021	0.960341	0.181537
177.047	34.2022	2.85609	0.28249	-0.104401	177.03	34.2009	177.261	34.3262	2.52363	0.850119	1.1028
177.059	34.2021	2.77967	0.302994	-0.0607068	177.211	33.8467	177.261	34.3262	2.52363	0.850119	0.349824
180.099	35.1418	2.91798	0.29093	-0.0219124	180.145	35.1423	179.799	35.1289	2.47883	0.732949	1.84882
180.003	35.1412	2.79464	0.345358	0.0557238	179.543	35.4767	179.799	35.1289	2.47883	0.732949	2.54166
182.584	35.753	2.82855	0.156182	-0.104985	182.599	35.753	182.292	35.8114	2.42515	0.611338	0.260411
182.5	35.7522	2.71357	0.167227	-0.1136	182.047	36.2626	182.292	35.8114	2.42515	0.611338	2.03978
184.732	36.5152	2.70904	0.395468	0.112299	184.732	36.5155	184.73	36.37	2.36226	0.487877	0.168976
184.732	36.5158	2.58362	0.465576	0.250171	184.833	36.1451	184.73	36.37	2.36226	0.487877	0.625982
186.946	36.9411	2.51143	0.118575	-0.146246	186.946	36.9404	187.103	36.804	2.29017	0.365145	0.631679
187.01	36.9416	2.52433	0.093052	-0.162749	187.296	36.9375	187.103	36.804	2.29017	0.365145	1.06434
189.444	37.4048	2.57491	0.257624	0.0555655	189.465	37.4052	189.401	37.1147	2.20928	0.245623	0.469568
189.477	37.4053	2.48072	0.276466	0.0910447	189.738	36.951	189.401	37.1147	2.20928	0.245623	0.747657
191.727	37.5634	2.48724	-0.0465398	-0.183835	191.735	37.5631	191.615	37.3064	2.12038	0.131592	0.273675
191.702	37.5627	2.40811	-0.0885037	-0.274997	191.682	37.1147	191.615	37.3064	2.12038	0.131592	0.395202
193.496	37.2786	2.32921	-0.278011	-0.221227	193.471	37.2789	193.738	37.3854	2.02462	0.0250453	0.328104
193.51	37.2787	2.32384	-0.286901	-0.24281	193.555	37.4234	193.738	37.3854	2.02462	0.0250453	0.0739241
195.949	37.3985	2.31229	0.252771	0.273996	195.991	37.3991	195.762	37.3598	1.92349	-0.072386	1.7176
195.861	37.3985	2.14098	0.254518	0.311354	195.507	37.4891	195.762	37.3598	1.92349	-0.072386	2.63383
